id,lat,lon,name,shop_type,brand,opening_hours,phone,website,address,wheelchair,payment_methods
node/411278774,37.8018168,-122.411243,Doo Wash Cleaners,laundry,,,+1 4158851222,,"1859, Powell Street, San Francisco",,
node/412085892,37.7994858,-122.4226273,Best Choice Cleaners,laundry,,,,,"Polk Street, San Francisco",,
node/412086364,37.7995995,-122.4223673,,laundry,,,+1 4157764937,,"2464, Polk Street, San Francisco",,
node/412087476,37.7983977,-122.4224782,Polk Street Cleaners,laundry,,,,,,,
node/412087661,37.7977072,-122.4219302,Cole Hardware,hardware,Ace Hardware,Mo-Sa 08:00-19:00; Su 10:00-19:00,+1 415-674-8913,https://www.colehardware.com/,"2254, Polk Street, San Francisco, 94109",,
node/412088777,37.7974414,-122.4222543,Professional Dry Cleaners,laundry,,,,,,,
node/412088778,37.7972094,-122.4222243,Silk-Tech Cleaners,laundry,,,,,,,
node/412104142,37.7956869,-122.4215749,Marvin's Cleaner,laundry,,,,,"2052, Polk Street, San Francisco",,
node/412108120,37.7937639,-122.421197,Holiday Cleaner,laundry,,,,,"1820, Polk Street, San Francisco, 94109",,
node/412108261,37.7932101,-122.4208207,Pet Connection II,pet,,,,,,,
node/412111064,37.7913539,-122.4210243,Brownie's Hardware,doityourself,Ace Hardware,Mo-Fr 08:00-19:00; Sa 09:00-18:00; Su 10:00-18:00,+1 415-673-8900,https://www.acehardware.com/store-details/15942,"1563, Polk Street, San Francisco, 94109",limited,yes
node/414269441,37.7557673,-122.4208616,Valencia Cyclery,bicycle,,Mo-Sa 10:00-18:00; Su 10:00-17:00,+1-415-550-6600,https://www.valenciacyclery.com/,"1077, Valencia Street, 94110",,
node/414269472,37.7757293,-122.411959,Mike’s Bikes,bicycle,,Mo-Sa 10:00-18:00; Su 10:00-17:00,,http://mikesbikes.com,"1233, Howard Street, San Francisco, 94103",no,
node/414269873,37.767985,-122.4531542,Avenue Cyclery,bicycle,,Mo-Tu off; We-Su 11:00-17:00,,,"756, Stanyan Street",yes,
node/414269956,37.7664614,-122.4532324,American Cyclery,bicycle,,"Mo,We-Fr 11:00-18:00; Sa,Su 10:00-17:00",,,"510, Frederick Street",no,
node/414270268,37.7737914,-122.4481572,Freewheel Bike Shop,bicycle,,"Mo,Su off; Tu-Sa 12:00-17:00",,,"1920, Hayes Street",yes,
node/415565397,37.791023,-122.396175,La Petite Cleaners,laundry,,,,,"310, Mission Street, San Francisco",limited,
node/415566446,37.7891676,-122.3981101,Quality Shoe Repair,shoe_repair,,,,,"521, Mission Street, San Francisco",,
node/416669140,37.7999565,-122.4438742,Felicia Gelardi Skin Care,beauty,,,,,,,
node/416669340,37.7999756,-122.4437361,Hani Ichi Flowers,florist,,,,,,,
node/416669362,37.7999667,-122.4440562,Chas J. Grisez Co.,yes,,,,,,,
node/416669402,37.7997759,-122.4434147,The Missing Sock Drycleaners,dry_cleaning,,,,,,,
node/416669604,37.8000127,-122.4433874,Rainwater Laundromat,laundry,,,,,,,
node/416669853,37.8000419,-122.4431635,Flip Salon,beauty,,,,,"2414, Chestnut Street",,
node/416669877,37.7999894,-122.4435456,Toyoko's Attraction,yes,,,,,,,
node/416670014,37.7998457,-122.4429997,United Liquor & Deli,alcohol,,,,,"2401, Chestnut Street, San Francisco",,
node/416670075,37.7998973,-122.4425947,Nails n Beauty,beauty,,,,,"2385, Lombard Street, San Francisco",,
node/416670144,37.7998136,-122.4432526,The Animal Connection Pet Supplies,pet,,,,,"2419, Chestnut Street, San Francisco",,
node/416670166,37.7998329,-122.4431009,Aristocrat Cleaners,dry_cleaning,,,,,"2415, Chestnut Street, San Francisco",,
node/416779467,37.8002087,-122.4418786,The Occularium,optician,,,,,,,
node/416779585,37.800247,-122.441577,Cut 'N Curl,hairdresser,,,,,San Francisco,,
node/416779636,37.8002639,-122.4415005,,florist,,,,,,,
node/416779650,37.800305,-122.441089,Photograph & Frame,yes,,,,,San Francisco,,
node/416779712,37.8000556,-122.4413508,Lucky Brand,clothes,Lucky Brand,Mo-Sa 10:00-21:00;Su 11:00-18:00,+1 415-749-3750,https://www.luckybrand.com/,"2301, Chestnut Street, San Francisco",,
node/416779714,37.8000223,-122.4416127,Marina Supermarket,supermarket,,,,,"2323, Chestnut Street, San Francisco",yes,
node/416779720,37.7999926,-122.4418463,Simply Cuts,hairdresser,,,,,,,
node/416779808,37.7999125,-122.4422827,Kelly Keiser Splendid Interiors,interior_decoration,,,+1 415-567-8818,http://www.kellykeisersplendidinteriors.com/,"2369, Chestnut Street, San Francisco",,
node/416779859,37.799821,-122.443194,Fichu Bridal Gowns,clothes,,Tu-Fr 10:00-18:00;Sa 11:00-17:00,+1-415-264-2790,https://www.fichu.us/,"2417, Chestnut Street, San Francisco",,
node/416780302,37.800307,-122.441006,Savvy Hair Salon,hairdresser,,,,,San Francisco,,
node/416780315,37.800328,-122.440819,,vacant,,,,,San Francisco,,
node/416780319,37.800348,-122.440713,Hand Touch Nail Care,yes,,,,,San Francisco,,
node/416780335,37.800416,-122.440247,SF Optics,optician,,,,,San Francisco,,
node/416780380,37.800421,-122.44017,Eye X,yes,,,,,San Francisco,,
node/416780407,37.800466,-122.439797,Nice Cuts,hairdresser,,,,,San Francisco,,
node/416780412,37.800475,-122.439705,Catnip + Bones,pet,,,,,San Francisco,,
node/416780438,37.800529,-122.439316,Red Dot,yes,,,,,San Francisco,,
node/416780444,37.8005425,-122.4391911,GNC,nutrition_supplements,GNC,,,,,,
node/416780477,37.800568,-122.4388679,City optix,optician,,,,,"2156, Chestnut Street",,
node/416781927,37.8007396,-122.4374584,AT&T,mobile_phone,AT&T,,,,,,
node/416781929,37.8007439,-122.4374289,Deleuse Jewelers,jewelry,,,,,,,
node/416781959,37.800788,-122.437428,The Humidor,tobacco,,,,,"2050, Chestnut Street, San Francisco",,
node/416782112,37.800869,-122.437156,,yes,,,,,,,
node/416782257,37.8008745,-122.4366328,Joybird,household,,,,,"2000, Chestnut Street, San Francisco",,
node/416782647,37.8005746,-122.437262,Paper Source,stationery,Paper Source,,,https://www.papersource.com/,"2061, Chestnut Street, San Francisco",,
node/416782815,37.8005118,-122.4380069,Y & I Clothing Boutique,clothes,,,,,,,
node/416782908,37.8004027,-122.438884,Gap,clothes,Gap,,,,"2159, Chestnut Street",yes,
node/416783020,37.8003868,-122.4390033,babyGap,clothes,Gap,,,,"2169, Chestnut Street",yes,
node/416783841,37.8002244,-122.440145,Studio on Chestnut,clothes,,Mo-Fr 10:30-18:00;Sa 10:00-18:00,+1 415-776-5078,http://studioonchestnut.com/,"2233, Chestnut Street, San Francisco",,
node/416783877,37.800219,-122.4401878,Partita Jewelry,jewelry,,Tu-Th 11:00-18:00;Fr 11:00-19:00;Sa 11:00-18:00;Su 12:00-18:00,+1 415-447-0795,https://partitajewelry.com/,"2235, Chestnut Street, San Francisco",,
node/416783966,37.8001647,-122.440617,The UPS Store,copyshop,The UPS Store,,,,San Francisco,,
node/416783967,37.8001591,-122.440661,dress San Francisco,clothes,,Mo-Sa 10:30-18:30;Su 11:00-18:00,+1 415-440-3737,https://dresssanfrancisco.com/,"2271, Chestnut Street, San Francisco",,
node/416783971,37.8001511,-122.4407244,Jack's San Francisco,clothes,,Mo-Su 10:00-17:00,+1-415-409-6114,https://www.jackssf.com,"2275, Chestnut Street, San Francisco, 94123-2607",,
node/416783985,37.8001445,-122.4407763,Ciao Bella Nail Salon,beauty,,,,,"2277, Chestnut Street, San Francisco",,
node/416784124,37.8001322,-122.4408741,The New Nails,beauty,,,,,"2291, Chestnut Street, San Francisco",,
node/416784125,37.800111,-122.4409747,Renee Rivera Hair Accessories,yes,,,,,San Francisco,,
node/416784221,37.8001107,-122.4410436,Marina Deli & Liquor,convenience,,,,,"2299, Chestnut Street, San Francisco",,
node/422557683,37.5874171,-122.3638925,,car,,,,,,,
node/427188166,37.7802625,-122.4852263,Ace,hardware,Ace Hardware,Mo-Sa 09:00-17:00; Su 11:00-17:00,+1 415-752-1888,,"6122, Geary Boulevard, San Francisco, 94121",,
node/429631343,37.7875285,-122.4153479,Kayo Books,books,,"""by appointment or happenstance""",+1 415 7490554,https://kayobooks.com/,"814, Post Street, San Francisco, 94109",yes,
node/429640022,37.7857079,-122.4296866,SOKO Hardware,hardware,,Su 10:00-17:30; Tu-Sa 09:00-17:30,+1 415 9315510,https://www.sokohardware.com/,"1698, Post Street, San Francisco",,
node/431424729,37.7631134,-122.421577,Good Vibrations,erotic,,,+1-415-522-5460,http://www.goodvibes.com,"603, Valencia Street, 94110",,
node/431425980,37.7918721,-122.4207988,Good Vibrations,erotic,,"Mo-Th,Su 11:00-19:00; Fr-Sa 11:00-19:30",+1-415-345-0400,http://www.goodvibes.com,"1620, Polk Street, 94109",yes,
node/432817154,37.7839767,-122.4207784,Metro by T-Mobile,mobile_phone,Metro by T-Mobile,Mo-Sa 10:00-20:00; Su 11:00-18:00,,https://www.metrobyt-mobile.com/stores/bd/metro-by-t-mobile-san-francisco-ca-10329093/,"900, Van Ness Avenue",,
node/432825132,37.7836172,-122.4194137,Aspect Custom Framing,framing,,,,,"731, Polk Street, San Francisco",,
node/441286094,37.6296201,-122.4909621,7-Eleven,convenience,7-Eleven,,+1 650-355-3516,https://www.7-eleven.com/locations/ca/pacifica/100-clarendon-rd-14318,"100, Clarendon Road, Pacifica, 94044-2720",,
node/442258118,37.7680395,-122.4223506,Healthy Spirits,alcohol,,Mo-Su 12:00-20:00,+1 415 341 0051,https://healthyspiritssf.com/,"300, Valencia Street, San Francisco, 94103",,
node/448036304,37.7828317,-122.4707224,Healthy Spirits,alcohol,,Mo-Su 12:00-20:00,,http://healthy-spirits.blogspot.com,"1042, Clement Street, San Francisco, 94118",,
node/448038878,37.7827273,-122.4666957,The APM,clothes,,,,,"701, Clement Street",yes,
node/459504817,37.7606657,-122.436559,Mollie Stone's,supermarket,,Mo-Su 07:00-21:00,+1-415-255-8959,https://www.molliestones.com/,"4201, 18th Street",yes,
node/497304181,37.76668,-122.4219156,E & M Market,convenience,,,,,"399, Valencia Street, San Francisco, 94103",,
node/497304203,37.7650583,-122.4220701,Foodhall,convenience,,Mo-Su 09:00-21:00,,,"3100, 16th Street, San Francisco, 94103",,
node/527505796,37.76976,-122.422503,Fred's Liquor,convenience,,,,,"200, Valencia Street",,
node/528511749,37.7627624,-122.4215096,Community Thrift Store,second_hand,,Mo-Su 10:00-19:00,,https://www.communitythriftsf.org/,,,
node/529117813,37.7646987,-122.4235801,K&D Market,convenience,,,,,,,
node/571457963,37.7600939,-122.3968164,Good Life Grocery,convenience,,Mo-Su 08:00-20:00,+1-415-282-9204,https://www.goodlifegrocery.com/,"1524, 20th Street",,
node/571458767,37.7599253,-122.3965587,Billy's Dry Cleaners,dry_cleaning,,,,,,,
node/586704382,37.764528,-122.432407,Harvest Market,convenience,,,,,"2285, Market Street, San Francisco, 94114",yes,
node/612767884,37.7986741,-122.4090015,JW & L Market,supermarket,,,+1 415 3972668,,"1401, Stockton Street, San Francisco",,
node/615143634,37.7265162,-122.4645819,7-Eleven,convenience,7-Eleven,,+1 415-584-7111,https://www.7-eleven.com/locations/ca/san-francisco/2000-ocean-ave-20643,"2000, Ocean Avenue, San Francisco, 94127-2723",,
node/615143635,37.7266032,-122.4648112,,laundry,,,,,,,
node/621793515,37.7877235,-122.4120922,Sugarcoat Salon,beauty,,,+1 415 4411868,,"619, Post Street, San Francisco",,
node/621793543,37.7875731,-122.4132116,King Liquor,alcohol,,,,,"693, Post Street, San Francisco",,
node/621818319,37.7886224,-122.4100569,Mason Liquor & Deli,convenience,,Fr 10:00-24:00; Mo-Th 10:00-22:00; Sa 15:00-24:00; Su off,+1-415-856-8976,,"530, Mason Street",,
node/621851566,37.7888877,-122.4105878,MMC Wine & Spirit,convenience,,,+1-415-474-4951,,"615, Sutter Street, San Francisco",limited,
node/630736134,37.801516,-122.45456,SF GreenClean,dry_cleaning,,Mo-Fr 07:00-19:00; Sa 09:00-17:00,+1-415-567-2100,https://www.sfgreenclean.com/,"222, Halleck St.",,
node/632146331,37.7751642,-122.4647459,The Laundry Corner,laundry,,,,,"700, 7th Avenue, San Francisco",,
node/632815535,37.7387041,-122.4684835,West Portal Produce Market,greengrocer,,,,,"222, West Portal Avenue, San Francisco, 94127",,
node/632817679,37.7386468,-122.4685481,Binu Bonu,wine,,Tu-Th 16:00-22:00; Fr-Sa 15:00-22:30,,,"230, West Portal Avenue, San Francisco, 94127",yes,
node/632819804,37.7386032,-122.4686,The UPS Store,copyshop,The UPS Store,Mo 08:30-18:30; Tu 08:30-18:30; We 08:30-18:30; Th 08:30-18:30; Fr 08:30-18:30; Sa 09:00-17:00; Su 11:00-16:00,,,"236, West Portal Avenue, San Francisco, 94127",,
node/632874790,37.7365836,-122.4703445,Little Original Joe's,deli,,Mo-Su 10:00-22:00,,https://www.littleoriginaljoes.com/,"393, West Portal Avenue, San Francisco, 94127",yes,
node/638752551,37.7401084,-122.4668511,West Portal Bookstore,books,,,,,"80, West Portal Avenue, San Francisco, 94127",,
node/647656834,37.7719921,-122.4305641,Haight Fillmore Whole Foods Co.,convenience,,,+1 415-552-6077,,"501, Haight Street, 94117",yes,
node/655381725,37.8002015,-122.4098183,Kim's Precision Cuts,hairdresser,,Mo-Fr 09:30-19:00,,,"554, Columbus Avenue",,
node/669137629,37.7808533,-122.4730706,Computer 5000,computer,,,+1 415-668-5000,,"5000, Geary Boulevard",no,
node/670674815,37.7620602,-122.435305,Louie's Barber Shop,hairdresser,,,+1-415-552-8472,https://www.louiesbarbershop.com/,"422, Castro Street, 94114",,
node/709858563,37.7866814,-122.4127614,Crystal Spa,beauty,,,+1 415-829-7553,,"577, Geary Street, San Francisco",,
node/718375840,37.7421805,-122.4984948,Stacy's Hair Studio,hairdresser,,,,,"3012, Taraval Street, San Francisco, 94116",,
node/718375843,37.742187,-122.4983446,Sea Bee Liquors,convenience,,,+1-415-731-2373,,"3000, Taraval Street, San Francisco",,
node/724824664,37.7420078,-122.5023245,Amity Market,convenience,,,+1-415-731-4500,,"3350, Taraval Street, San Francisco",,
node/725100761,37.7872056,-122.408594,,yes,,,,,"347, Geary Street, San Francisco",,
node/725100771,37.787231,-122.4084062,Shoe Palace,shoes,,,,,"333, Geary Street, San Francisco",yes,
node/734841519,37.7621857,-122.4385594,Eureka Market,convenience,,,,,"4151, 17th Street",,
node/734841522,37.7607496,-122.4358949,Does Your Mother Know,erotic,,,+1-415-864-3160,,"4141, 18th Street, 94114",,
node/761762694,37.7265935,-122.4762074,Trader Joe's,supermarket,Trader Joe's,Mo-Su 08:00-21:00,+1 415-665-1835,https://locations.traderjoes.com/ca/san-francisco/236/,"265, Winston Drive, San Francisco, 94132",,
node/770891726,37.6188783,-122.4399002,Lunardi's,supermarket,,,,,,yes,
node/806226986,37.7934249,-122.4065637,Clarion Music Center,music,,,+1-415-391-1317,,"816, Sacramento Street, San Francisco",,
node/806236999,37.7952434,-122.4062874,Louie Brothers Book Store,books,,,,,,,
node/830588349,37.7856885,-122.4147799,Deena's Market,convenience,,,+1 415-931-4647,,"600, O'Farrell Street",,
node/851514999,37.5416744,-122.5158093,Montara Gas Station,convenience,,,,,,,
node/853394504,37.5409841,-122.516265,Highway One Trading,yes,,,,,,,
node/880230901,37.6310056,-122.437068,7-Eleven,convenience,7-Eleven,,+1 650-871-5191,https://www.7-eleven.com/locations/ca/san-bruno/2020-rollingwood-14341,"2020, ROLLINGWOOD, San Bruno, 94066-1930",,
node/904141569,37.7786169,-122.4088465,Starco Mart,grocery,,,,,,,
node/904583427,37.7421827,-122.4984441,New Leaf Media Inc.,mobile_phone,,,,,"3008, Taraval Street, San Francisco, 94116",,
node/973620751,37.7862332,-122.4081436,Herbert Hotel,optician,,,,,"161, Powell Street",limited,
node/974351666,37.7422156,-122.426702,Church Produce,greengrocer;grocery,,Mo-Fr 07:00-20:00; Sa-Su 07:00-19:00,+1 888 327 3551,,"1798, Church Street, San Francisco, 94131",,
node/983587684,37.6358235,-122.418948,Barnes & Noble,books,Barnes & Noble,,,,,,
node/993412550,37.7419451,-122.4224115,Thrillhouse Records,records,,Mo-Su 12:00-20:00,+1-415-826-0223,,"3422, Mission Street, San Francisco, 94110",,
node/1002186184,37.7876786,-122.4220492,BevMo!,alcohol,BevMo!,Mo-We 09:00-21:00; Th-Sa 09:00-22:00; Su 10:00-19:00,,,"1301, Van Ness Avenue, San Francisco",yes,
node/1002186270,37.7900899,-122.4234142,Whole Foods Market,supermarket,Whole Foods Market,Mo-Su 08:00-22:00,+1 415-674-0500,https://www.wholefoodsmarket.com/stores/franklin,"1765, California Street, San Francisco, 94109",yes,
node/1053535666,37.919027,-122.5075218,Nugget Markets,supermarket,,Mo-Su 07:00-21:00,+1-415-945-8855,https://www.nuggetmarket.com/locations/corte-madera/,"5627, Paradise Drive, Corte Madera, 94925",,
node/1053536948,37.9271644,-122.5167145,Sephora,cosmetics,Sephora,,,,,yes,
node/1053573649,37.9294998,-122.513292,Restoration Hardware,furniture,Restoration Hardware,Mo-Su 10:00-21:00,+1-628-266-2040,https://rh.com/marin/,"1750, Redwood Highway, Corte Madera, 94925",,
node/1060956195,37.7535913,-122.4341333,1001 Castro Street,convenience,,,,,"1001, Castro Street, San Francisco",,
node/1073821273,37.7911541,-122.407672,J & W Market,convenience,,,,,,,
node/1076394646,37.9275637,-122.5178858,Just Food For Dogs,pet,,,,https://www.justfoodfordogs.com/store/139-corte-madera-town-center-corte-madera-ca-94925.html?utm_source=local&utm_medium=organic&utm_campaign=GMB&utm_content=owned&y_source=1_MTEzNDI1MTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,
node/1076399118,37.9278959,-122.5172084,Louis Thomas,clothes,,,,,,,
node/1076401003,37.9273691,-122.5171309,Urban Outfitters,clothes,Urban Outfitters,,,,,,
node/1076401004,37.9270348,-122.517195,Barnes & Noble,books,Barnes & Noble,Mo-Su 10:00-20:00,+16283861744,https://stores.barnesandnoble.com/store/3990,"325, Corte Madera Town Center",,
node/1076403284,37.9261209,-122.5169646,AT&T,mobile_phone,AT&T,,,,"305, Corte Madera Town Center, 94925",,
node/1076417317,37.923565,-122.5125577,Toscalito Tire & Automotive,tyres,,Mo-Fr 07:30-17:30; Sa 08:00-17:00; Su off,+1 415-924-8810,https://www.toscalito.com/,"5800, Paradise Drive",,
node/1076421969,37.9285987,-122.5142689,Apple Store,electronics,Apple Store,Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 11:00-18:00,+1 415-413-9120;+1 415-927-5820,https://www.apple.com/retail/cortemadera,"1520, Redwood Highway, Corte Madera, 94925",,
