"the_geom","OBJECTID","landmarkno","address","yearbuilt","Name","proptype","yeardes","desage","crit1","crit2","crit3","crit1txt","crit2txt","crit3txt","sigsum","context","style","archbuild","sigperson","ntlreg","doccontext","potcontext","legbus","culturaldist","potcultural","idencultural","culturalsum","cultural_1","rbrp","desdoc","pimlink","largephoto","thumbail","status","description"
"MULTIPOLYGON (((-122.409965060139 37.795349272151, -122.409927058387 37.795162884959, -122.410398902987 37.795102625886, -122.410436592675 37.795289051749, -122.41035800272 37.795299089082, -122.410279413664 37.795309126415, -122.410201678964 37.795319054031, -122.409965060139 37.795349272151)))","154","235","1135 Powell Street","1,920","Chinatown Branch Carnegie Library","Government","2,002","82","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Government, Planning, & Infrastructure: Municipal & Federal Buildings, Carnegie Libraries; Late 19th Early 20th Century Revival Styles, Italian Rennaissance","Italian Renaissance
Revival",,"Andrew Carnegie",,,"Italian HCS; Chinese American HCS",,,,,,"N","Library trustees referred to neighborhood as ""foreign element.""","https://sfplanninggis.org/docs/landmarks_and_districts/LM235.pdf","https://sfplanninggis.org/pim?search=0191/004","https://sfplanninggis.org/Preservation/Landmarks/Large/235.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/235.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.429201598275 37.766675776366, -122.429445756117 37.766870343791, -122.429323206401 37.766967254735, -122.42907904766 37.76677268731, -122.429201598275 37.766675776366)))","47","277","2117-2123 Market Street","1,906","New Era Hall","Institutional","2,018","112","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Reconstruction Era; Events that Shaped the City, 1906 Earthquake and Reconstruction; Industrial, Regional Manufactoring, Shops & Mills; Private and Public Institutional, Recreation and Culture, Clubs and Social Halls; Architecture of the Progressive Era","Classical Revival; Craftsman details","August Nordin",,,,"Latino (Visalia Stock Saddle Company)?",,,"Latino (?)",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM277.pdf","https://sfplanninggis.org/pim?search=3543/012","https://sfplanninggis.org/Preservation/Landmarks/Large/277.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/277.jpg","Adopted","New Era Hall is one of only nine known purpose-built social halls with commercial spaces designed in the Classical Revival style with Craftsman details by master architect August Nordin. Completed just seven months after the 1906 Earthquake and Fire, New Era Hall provided crucial meeting space for organizations displaced by the disaster, such as the Odd Fellows, Knights of Pythias, and the Woodmen of the World. It also housed the Visalia Stock Saddle Company, a pioneer Mexican-American business that developed what is today known as the ""western saddle."" The building uses an innovative structural system in order to avoid the need for structural support columns, thus creating large, open assembly spaces while conserving building materials."
"MULTIPOLYGON (((-122.413054118053 37.771439853966, -122.413177732566 37.771342228961, -122.413428684786 37.771542410854, -122.413694692556 37.771754602293, -122.413826478309 37.771859724047, -122.413667053691 37.771985629134, -122.413581210704 37.772053426325, -122.413355272228 37.771873196791, -122.413075842076 37.771650298922, -122.412986156286 37.771578756954, -122.413032762752 37.771541950401, -122.413055815973 37.771523742727, -122.413071999273 37.77151096336, -122.413018309747 37.771468134047, -122.413054118053 37.771439853966)))","304","199","1475-333 Folsom Street & 315-333 11th Street","1,912","Jackson Brewery Co. Complex","Industrial","1,991","79","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Reconstruction Era; Industrial, Regional Manufacturing, Shops, and Mills; Architectural Styles, Late 19th and Early 20th Century Revival Styles, Romanesque Revival","Romanesque
Revival","James T. Ludlow; Kaufman & Edwards","William A. Frederick; Mary Frederick",,,"Women's Rights HCS",,,"Women",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM199.pdf","https://sfplanninggis.org/pim?search=3520/028A","https://sfplanninggis.org/Preservation/Landmarks/Large/199.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/199.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.427307084654 37.797727838669, -122.42752067364 37.797700680043, -122.427554915327 37.797870160879, -122.427341326341 37.797897318606, -122.427307084654 37.797727838669)), ((-122.42734159344 37.797897621678, -122.427555182426 37.797870463951, -122.427581206108 37.797999272049, -122.427367617122 37.798026427977, -122.42734159344 37.797897621678)))","248","17","2645 Gough Street","1,861","Colonial Dames Octagon
House","Residential - SF","1,969","108","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlement, Residential; Architecture: Early Settlement","Octagon","Warren Perry - restoration","Daniel O'Connell","Yes",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM17.pdf","https://sfplanninggis.org/pim?search=0544/001C","https://sfplanninggis.org/Preservation/Landmarks/Large/17.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/17.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.411756220073 37.75898519601, -122.411669992176 37.75899043636, -122.411643123132 37.75870409312, -122.411729353727 37.758698895038, -122.411756220073 37.75898519601)))","285","99","3101 20th Street","1,928","Schoenstein & Co. Pipe Organ
Building","Industrial","1,977","49","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Great constructions; Industrial, Building Mats. Shops & Mills; Architectural Styles, Edwardian & Early 20th C., Spanish/Med - lite/vernacular","""California-Spanish"" - NR characterization",,"Shoenstein family","Yes",,"German",,,"German",,"Landmark is associated with a social, ethnic, or cultural group","Y","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM99.pdf","https://sfplanninggis.org/pim?search=4084/001","https://sfplanninggis.org/Preservation/Landmarks/Large/99.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/99.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.400281415755 37.790377917907, -122.400456011935 37.790355666881, -122.400523265037 37.790682269172, -122.400609493833 37.791101025892, -122.399669836294 37.791220775119, -122.399606116629 37.790911315705, -122.40014297322 37.790487270971, -122.400281415755 37.790377917907)))","305","183","1 Bush Street","1,959","Crown Zellerbach Building","Office","1,987","28","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","World War II and the Post-War City; Commercial, Downtown Core, Finance and Commerce; Landscapes, Lawrence Halprin; Modern Architecture and Landscapes","Modern","Skidmore Owings and Merrill; Hertzka and Knowles; Lawrence Halprin and Associates","Zellerbach family",,,,,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM183.pdf","https://sfplanninggis.org/pim?search=0290/011","https://sfplanninggis.org/Preservation/Landmarks/Large/183.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/183.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.402168602599 37.796515309734, -122.402132770011 37.796339455402, -122.402094100063 37.796149676866, -122.402350437423 37.796117269796, -122.402361487393 37.79617149262, -122.402425043381 37.796483394593, -122.402168602599 37.796515309734)))","315","16","407 Jackson Street","1,861","Regency House - Ghirardelli
Annex","Mixed-Use Office","1,969","108","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlment, Commerical; Architectural Styles, Early Settlement Era?","Brick Italianate",,"Domingo Ghirardelli","Yes - Part of Jackson Square Historic District",,,,,,"Italian","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM16.pdf","https://sfplanninggis.org/pim?search=0196/027","https://sfplanninggis.org/Preservation/Landmarks/Large/16.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/16.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.403201582787 37.796523462988, -122.403406914198 37.796497907852, -122.403439293389 37.796660671653, -122.403233961978 37.796686227687, -122.403201582787 37.796523462988)))","225","26","800-802 Montgomery Street","1,854","Bank Of Lucas; Turner &
Company","Commercial","1,970","116","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlment, Commerical; Architectural Styles, Early Settlement Era?","Brick Italianate","Reuben Clark, Architect; Keyser and Brown, Contractors","William Tecumseh Sherman; William Blanding","Yes - Part of Jackson Square Historic District",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM26.pdf","https://sfplanninggis.org/pim?search=0175/012","https://sfplanninggis.org/Preservation/Landmarks/Large/26.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/26.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.402790898381 37.790057321288, -122.403143261752 37.790012406448, -122.403200792283 37.790291737674, -122.403322977773 37.790276162315, -122.403332000671 37.790322131162, -122.403348328762 37.790401409997, -122.403354811975 37.790433433057, -122.403237824566 37.790448344715, -122.403223869786 37.790380586195, -122.402866846128 37.790426094589, -122.402847659092 37.790332925724, -122.402828471157 37.79023975596, -122.402790898381 37.790057321288)))","142","37","130-150 Sutter Street","1,918","Hallidie Building","OFFICE","1,971","53","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Great Constructions; Commercial: downtown core, merchants & lenders; Construction methods, others; Late 19th/Early 20th c. revival: Gothic revival","Gothic Revival","Willis Polk",,"Yes",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM37.pdf","https://sfplanninggis.org/pim?search=0288/030","https://sfplanninggis.org/Preservation/Landmarks/Large/37.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/37.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.433245793758 37.78371857845, -122.433317946366 37.784075151547, -122.432993370248 37.784116521261, -122.432921218539 37.783759946365, -122.433245793758 37.78371857845)))","249",,,,"Filmore Auditorium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Work Program","Coming Soon!"
"MULTIPOLYGON (((-122.417736179281 37.804050850566, -122.41679499829 37.804169143791, -122.416644205366 37.80342584063, -122.417584766724 37.803305284711, -122.417646712026 37.803610312266, -122.417660466257 37.80367803931, -122.417679738729 37.803772936672, -122.417736179281 37.804050850566)))","193","294","800 Chestnut Street","1,926","The Making of a Fresco Showing the Building of a City","Object","2,021","90","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Artistic Expression, Mural; Cultural, Latinx",,"Diego Rivera","Viscount John Hastings, Clifford Wright, Mathew Barnes",,,,,,,"Latinx","Landmark is associated with a social, ethnic, or cultural group","Y","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM294.pdf","https://sfplanninggis.org/pim?search=0049/001","https://sfplanninggis.org/Preservation/Landmarks/Large/294.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/294.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.453346226947 37.766851131575, -122.453393095115 37.767092436767, -122.453254661573 37.767109381793, -122.453207794304 37.766868076601, -122.453346226947 37.766851131575)))","258","201","811 Stanyan Street","1,902","Park Emergency Hospital","Institutional","1,991","89","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Private & Public Institutional, Health and Medicine; Events that Shaped the City, 1906 Earthquake / Reconstruction; Architectural Styles, Late 19th & Early 20th Century Revival Styles, Beaux Arts","Beaux Arts","Newton J. Tharp",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM201.pdf","https://sfplanninggis.org/pim?search=1700/001","https://sfplanninggis.org/Preservation/Landmarks/Large/201.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/201.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.434468447261 37.796707147717, -122.434570976269 37.796694150715, -122.434502476708 37.79635518994, -122.434716079184 37.796328114951, -122.434784577846 37.796667075725, -122.434791427982 37.796700972072, -122.434979397981 37.796677143635, -122.434988740138 37.796723369688, -122.434999948389 37.796778832677, -122.434907230984 37.796790585917, -122.434804701975 37.79680358202, -122.434719261884 37.796814411656, -122.434633820894 37.796825242191, -122.434454393555 37.796847986046, -122.434360409006 37.796859899365, -122.434339793846 37.796758219317, -122.434475297397 37.796741042265, -122.434468447261 37.796707147717)))","257","49","2160 Green Street","1,876","Sherman House","Residential - SF","1,972","96","N","Y","Y",,"Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Early Settlment, residential; Early settlement, Second Empire","Second Empire",,"Leander Sherman",,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM49.pdf","https://sfplanninggis.org/pim?search=0540/030","https://sfplanninggis.org/Preservation/Landmarks/Large/49.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/49.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.401410537067 37.792328809127, -122.401111551157 37.792366914302, -122.401074071011 37.792184908607, -122.401373056921 37.792146804332, -122.401410537067 37.792328809127)))","267","160","210 Sansome Street","1,907","Royal Globe Insurance
Building","OFFICE","1,983","76","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Great Constructions: Architectural Styles, Late 19th Century Revivals, Beaux Arts","Beaux Arts","Howells and Stokes",,,,,,,,,,,,"https://sfplanninggis.org/docs/landmarks_and_districts/LM160.pdf","https://sfplanninggis.org/pim?search=0260/026","https://sfplanninggis.org/Preservation/Landmarks/Large/160.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/160.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.424380936231 37.790227078217, -122.424585962772 37.790201020361, -122.424661530105 37.790574126595, -122.424533046663 37.790590457384, -122.424456502665 37.79060018625, -122.424380936231 37.790227078217)))","316","55","1818-1820 California Street","1,876","Lilienthal-Orville Pratt House","Residential - SF","1,973","97","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Early Settlement: residential; Victorian Era, Italianate;","Italianate",,"Orvill Pratt Jr. ; Ernest Lilienthal",,,,,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM55.pdf","https://sfplanninggis.org/pim?search=0641/004","https://sfplanninggis.org/Preservation/Landmarks/Large/55.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/55.jpg","Adopted","Coming Soon!"
