id,lat,lon,name,type,cuisine,opening_hours,phone,website,address,outdoor_seating,takeaway,delivery,wheelchair
node/319020714,37.7664478,-122.4222039,Little Star Pizza,restaurant,pizza,"Su-Th 11:30-21:30; Fr,Sa 11:30-22:30",+1 415 551 7827,http://www.littlestarpizza.com,"400, Valencia Street, San Francisco, 94103",,,,
node/331389010,37.7986732,-122.4072962,Caffe Trieste,cafe,coffee_shop,Mo-Su 07:00-22:00,+1-415-392-6739,https://caffetrieste.com/,"601, Vallejo Street, San Francisco, 94133",,yes,,
node/331389382,37.7995427,-122.4072822,Dupont Thai,restaurant,thai,,,,"1398, Grant Avenue",,,,
node/331665706,37.7998993,-122.4070903,Bocce Cafe,restaurant,italian,,,,"478, Green Street",,,,
node/331665816,37.7998833,-122.4069896,Maykadeh Persian Restaurant,restaurant,persian,,,,"470, Green Street",,,,
node/331666407,37.7977838,-122.4052952,Tommaso's Ristorante Italiano,restaurant,italian,Tu-Sa 17:00-22:30; Su 16:00-21:30,+1-415-398-9696,https://www.tommasos.com/,"1042, Kearny Street",,,,
node/331675911,37.8002363,-122.4090363,Tony's Coal Fired Pizza & Slice House,fast_food,pizza,Mo-Tu 12:00-20:00; We-Sa 11:30-23:30,,https://www.tonyscoalfired.com/,"1556, Stockton Street",no,only,,
node/332730973,37.786217,-122.453191,Starbucks,cafe,coffee_shop,,+1 415-387-2249,https://www.starbucks.com/store-locator/store/9025/laurel-village-3595-california-st-san-francisco-ca-941181707-us,"3595, California Street, San Francisco, 94118",,yes,,yes
node/332730993,37.7866119,-122.4504574,Peet's Coffee,cafe,coffee_shop,Mo-Su 06:00-19:00,,,"3419, California Street, San Francisco, 94118",,yes,,yes
node/332787283,37.7881122,-122.4467909,Osteria Cucina Toscana,restaurant,italian,,,,,,,,yes
node/332787308,37.7870938,-122.4563869,Picnix Bistro,cafe,,,,,"3872, Sacramento Street, San Francisco, 94118",,,,
node/334405696,37.5824375,-122.3519499,Hanabi Ramen,restaurant,,,,,,,,,
node/334406060,37.5824987,-122.3521044,Philly's cheese steak shop,restaurant,,,,,,,,,
node/334963094,37.798473,-122.4086479,Fancy Wheat Field Bakery,shop:bakery,,,+1-415-982-1368,,"1362, Stockton Street, San Francisco, 94133",,,,yes
node/334976777,37.7996767,-122.4086205,Caffé Sport,restaurant,italian,,,,"574, Green Street, San Francisco, 94133",,,,
node/335444374,37.7908279,-122.4025161,Peet's Coffee,cafe,coffee_shop,Mo-Fr 05:30-17:00; Sa-Su off,+1 415-576-8810,,"155, Montgomery Street, San Francisco, 94104",,yes,,yes
node/339562992,37.6013752,-122.3719304,Cafe Bullshead Express,cafe,,,,,,,,,
node/339563079,37.6006601,-122.3695588,Joe's Cafe By the Bay,cafe,,,,,"1669, Old Bayshore Highway, Burlingame, 94010",,,,
node/344975908,37.782448,-122.3925769,21st Amendment Brewery,pub,,,+1 415-369-0900,https://21st-amendment.com/,"563, 2nd Street, 94107",,,,
node/346585378,37.7812256,-122.4062574,Tempest,pub,,"Mo-Fr 11:30-26:00; Sa, Su 12:00-26:00",+1 415 4951863,https://www.pourguys.com/,"431, Natoma Street, San Francisco, 94103",,,,
node/351963628,37.7866169,-122.414982,Angel Cafe & Deli,cafe,,"Mo,We-Sa 06:00-14:00; Su 07:00-14:00; Tu 06:00-14:00",+1 415 931 3467,,"700, Geary Street, San Francisco",yes,,,yes
node/358116917,37.7263764,-122.4762235,McDonald's,fast_food,burger,Mo-Su 06:00-24:00,+1 415-759-5033,https://www.mcdonalds.com/us/en-us/location/11742.html,"255, Winston Drive, San Francisco, 94132-1921",,yes,,
node/359102192,37.7995051,-122.400617,Grumpy's Restaurant Pub,restaurant,,,,,"125, Vallejo Street",,,,
node/360450263,37.7511207,-122.4383271,Philz Coffee,cafe,coffee_shop,,,,"4298, 24th Street, San Francisco",,,,
node/360451646,37.7511229,-122.4382091,Firefly,restaurant,regional,,,,"4288, 24th Street, San Francisco",,,,
node/360463558,37.7484974,-122.429217,Noe Cafe,cafe,coffee_shop;beer,,+14159158876,https://noecafe.com/,"1299, Sanchez Street, San Francisco",yes,,,
node/360463846,37.7485992,-122.4269982,Chloe's Cafe,cafe,,,,,"1399, Church Street, San Francisco",,,,
node/360464146,37.7490403,-122.4270583,Bernal Heights Pizzeria,restaurant,pizza,,,https://www.bernalheightspizzeria.com/,"1361, Church Street, San Francisco",,,,
node/360464463,37.7492082,-122.4270599,Lovejoy's Tea Room,cafe,tea,Mo-We off; Th-Su 11:00-17:00,,,"1351, Church Street, San Francisco",yes,,,limited
node/365489125,37.7966589,-122.3948945,Joyride Pizza,fast_food,pizza,Su-Mo 10:00-20:00; Tu-Sa 10:00-21:00; Nov Th[4] off; Dec 24 10:00-16:00; Dec 25 off; Dec 31 10:00-25:00,+1 415 237 3888,https://www.joyridepizza.com/pier-1-the-embarcadero,,yes,,,
node/366696563,37.7994783,-122.4084162,Belle Cora,restaurant,,Mo-Fr 16:00-24:00; Sa-Su 13:00-25:00,+1 415 8725451,https://thebellecora.com/,"565, Green Street, San Francisco, 94133",,,,
node/366699257,37.7991508,-122.408776,Barbara Pinseria & Cocktail Bar,restaurant,italian;pizza;pinsa,Su-Th 12:00-22:00; Fr-Sa 12:00-23:00,+1 415 445 3009,https://www.sfbarbara.com/,"431, Columbus Avenue, San Francisco, 94133",,,,
node/366700371,37.7991949,-122.409102,Cavalli Cafe,cafe,coffee_shop,,,,"1441, Stockton Street",sidewalk,,,
node/366701342,37.800326,-122.409326,Original Joe's,restaurant,italian;burger;pasta;steak,"Mo-Th 15:00-22:00; Fr 12:00-22:00; Sa,Su 10:00-22:00",+1 415 7754877,https://originaljoes.com/,"601, Union Street, San Francisco, 94133",yes,,,
node/366703620,37.8014859,-122.4095533,Mama's on Washington Square,restaurant,,,,,"1701, Stockton Street",,,,
node/366710420,37.7976427,-122.40599,Specs Bar,pub,,,,,"12, William Saroyan Place",,,,
node/366711368,37.7975454,-122.4059615,Cafe Tosca,pub,,,,,"242, Columbus Avenue",,,,
node/366713190,37.7982178,-122.4063692,15 Romolo,pub,,Mo-Fr 17:00-02:00; Sa-Su 12:00-02:00,+1 415 398 1359,https://www.15romolo.com/,"15, Romolo Place",,,,
node/366722014,37.7995962,-122.4074738,Grant and Green,pub,,,,,"1371, Grant Avenue",,,,
node/366723406,37.7994533,-122.4105373,The Boardroom,pub,,,,,"1609, Powell Street",,,,
node/366733492,37.7980894,-122.4072679,The Baked Bear,ice_cream,ice_cream,,,,"303, Columbus Avenue",,yes,,yes
node/370194862,37.7790091,-122.4109149,Teo Restaurant & Bar,restaurant,chinese,"Mo-Th 16:00-21:30; Fr 11:30-14:00,17:00-21:30; Sa-Su 12:00-15:00,17:00-21:30",,,"1111, Mission Street, San Francisco, 94103",,,,
node/370196794,37.7786408,-122.409904,Custom Lounge,pub,,,,,,,,,
node/370198231,37.7818767,-122.410081,Tú Lan,restaurant,vietnamese,Mo-Fr 11:00-20:00,,,"8, 6th Street, San Francisco",no,yes,,limited
node/371002140,37.8005954,-122.4090839,Acquolina,restaurant,,,+1 415-781-0331,https://www.facebook.com/Acquolina-446017905573613/,"1600, Stockton Street",yes,,,
node/371002317,37.8005275,-122.4074703,North Beach Pizza,restaurant,,,,https://www.northbeachpizza.com/,"1462, Grant Avenue, San Francisco, 94133",,,,
node/371007095,37.7970564,-122.4034628,Cigar Bar,pub,spanish;burger,"We-Fr 17:30-26:00; Sa 18:00-26:00; Su 19:00-24:00; Mo,Tu off",+1 415 3980850,https://www.cigarbarandgrill.com/,"850, Montgomery Street, San Francisco, 94133",yes,,,yes
node/371011277,37.7948285,-122.4061227,Empress of China,restaurant,chinese,,,,"838, Grant Avenue",,,,
node/371025500,37.7902413,-122.4072909,Tunnel Top,pub,,"Mo-Su,PH 16:00-02:00",,,"601, Bush Street",sidewalk,,,limited
node/371250373,37.801363,-122.4119257,Sushi on North Beach - Katsu,restaurant,japanese,,,,"745, Columbus Avenue",,,,yes
node/371250730,37.7999591,-122.4100117,Il Pollaio,restaurant,chicken,"Mo-Sa 11:30-14:30, 16:00-21:00",,https://www.ilpollaiosf.com,"555, Columbus Avenue, 94133",,,,
node/371250864,37.8052102,-122.4103219,Freddie's Sandwiches,restaurant,sandwich,Mo-Fr 07:30-16:00; Sa 08:30-16:00,+1-415-433-2882,http://orderfreddiessandwiches.com,"300, Francisco Street, 94133",,,,
node/371251141,37.8019801,-122.4129815,La Trappe,restaurant,belgian,,,https://www.latrappecafe.com/,"800, Greenwich Street",,,,
node/371251268,37.798189,-122.4029307,Coi,restaurant,new_american,,,,"373, Broadway",,,,
node/371251496,37.7991995,-122.407215,Mo's Grill,restaurant,burger,,,,"1322, Grant Avenue",,,,
node/371251641,37.8004678,-122.4110417,Washington Square Bar & Grill,restaurant,,,,,"1707, Powell Street",,,,
node/371251931,37.8041003,-122.4153272,Kennedy's Irish Pub & Curry House,pub,indian,,,https://www.kennedyscurry.com/,"1040, Columbus Avenue",,,,
node/371252330,37.8007324,-122.4079689,Don Pistos,restaurant,mexican,,,https://www.donpistos.com/,"510, Union Street",,,,
node/378440021,37.7649457,-122.4235379,ABV,bar,,Mo-Su 16:00-26:00,+1 415 4004748,https://www.abvsf.com/,"3174, 16th Street, San Francisco, 94103",yes,,,yes
node/378743791,37.8110757,-122.4102453,Bubba Gump Shrimp Company,restaurant,seafood,,,,,,,,
node/380314308,37.7866568,-122.4146557,Osha BBQ,restaurant,thai,,,,"696, Geary Street, San Francisco",,,,
node/381972334,37.7883091,-122.416671,Aces,pub,,"Mo-Fr 12:00-02:00, Sa,Su 10:00-02:00",,,"998, Sutter Street, San Francisco, 94109",,,,yes
node/383502127,37.7866072,-122.409593,Cafe Mason,restaurant,international;mexican,06:30-14:30,+1 415-544-0320,https://www.masondiner.com/,"320, Mason Street, San Francisco, 94102",no,,,
node/383507544,37.7870044,-122.4099933,Pinecrest Diner,restaurant,american,Mo-We 07:00-23:00; Th 07:00-24:00; Fr-Sa 00:00-24:00; Su 00:00-23:00,+1 415 8856407,https://pinecrestdiner.com/,"401, Geary Street",,,,yes
node/383509298,37.7872534,-122.4100648,Jack in the Box,fast_food,burger,24/7,+1 415-673-0868,https://locations.jackinthebox.com/us/ca/san-francisco/400-geary-st,"400, Geary Street, San Francisco, 94102",,yes,,
node/385008429,37.6059865,-122.3959179,KFC,fast_food,chicken,,,https://locations.kfc.com/ca/millbrae/950-el-camino-real,"950, El Camino Real, Milbrae, 94030",,yes,,
node/385010071,37.6034574,-122.3960128,Little Whale,restaurant,thai,,,,,,,,
node/387250842,37.7949042,-122.4234947,Happy Donut,restaurant,,,,,"2101, Van Ness Avenue",,,,
node/388205890,37.8065169,-122.4207744,Buena Vista,pub,,Mo-Fr 09:00-02:00; Sa-Su 08:00-02:00,,,,,,,
node/388217934,37.7952878,-122.418125,Collina,restaurant,,,,,"1550, Hyde Street",,,,
node/393134624,37.7855464,-122.4216191,Tommy's Joynt,restaurant,,"Su-We 12:00-19:00; Th,Fr 12:00-24:00; Sa 13:00-24:00",,,,,,,yes
node/409485213,37.7755132,-122.4988507,The Laundromat SF,restaurant,pizza;bagel,"Mo-Tu off; We-Th 08:00-14:00,17:00-21:00; Fr-Sa 08:00-14:00,17:00-22:00; Su 09:00-14:00,17:00-20:00",,,"3725, Balboa Street",,,,
node/410845445,37.7901681,-122.4154112,Another Cafe,cafe,coffee_shop,Mo-Su 07:00-20:00,+1 415 8575770,https://www.anothercafesf.com/,"1191, Pine Street, San Francisco, 94109",sidewalk,yes,,limited
node/411083201,37.7670162,-122.4219251,Four Barrel Coffee,cafe,coffee_shop,,,,"375, Valencia Street, San Francisco, 94103",yes,,,yes
node/412086707,37.7989098,-122.4225313,Little Kitchen,restaurant,chinese,,+1 4159225526,,"2401, Polk Street, San Francisco",,,,
node/412087372,37.7986951,-122.4221753,Tonic,pub,,17:00-2:00,,https://tonicbar-sf.com/,"2360, Polk Street, San Francisco",,,,
node/412089163,37.7970245,-122.4221958,The Royal Oak,pub,,,,,"Polk Street, San Francisco",,,,
node/412103360,37.7958344,-122.4216053,Shanghai Kelly's,pub,,,,,San Francisco,,,,
node/412109202,37.7922403,-122.421214,Harper & Rye,pub,,,,,"1695, Polk Street, San Francisco, 94109",,,,
node/416683850,37.799938,-122.4422747,Asa Sushi,restaurant,sushi,"Mo-Th 11:30-14:30,17:30-22:00;Fr 11:30-14:30,17:30-23:00;Sa 14:30-15:00,17:30-23:00",+1 415-345-8263,http://www.asasushisf.com/,"2365, Chestnut Street, San Francisco",,,,
node/416783945,37.8001729,-122.4405522,Squat & Gobble,restaurant,american,8:00-22:00,+1-415-441-2200,https://squatandgobble.com/,"2263, Chestnut Street, 94123",yes,,,
node/417235672,37.7694735,-122.5102178,Beach Chalet,restaurant,western;grill,,,https://www.beachchalet.com/,,,,,
node/417235974,37.7694736,-122.5099836,Beach Chalet Brewery & Restaurant,restaurant,western;grill,,,https://www.parkchalet.com,"1000, Great Highway, San Francisco, 94121",,,,
node/418513660,37.7645003,-122.4216812,Muddy Waters,cafe,,Mo-Su 07:00-14:00,,,"521, Valencia Street",,,,
node/418513730,37.7648614,-122.4210768,Pancho Villa,restaurant,,Mo-Su 10:00-22:00,,http://sfpanchovilla.com,"3071, 16th Street",,,,
node/418514113,37.7634365,-122.4219094,El Toro,restaurant,,Mo-Sa 11:00-20:00; Su off,,,"598, Valencia Street",,,,
node/418540495,37.7867153,-122.4125033,Swig,bar,,Th 16:30-24:00; Fr 16:30-26:00; Sa 18:00-26:00; Su 16:30-24:00,+1 415 9317292,http://www.swig-bar.com/,"561, Geary Street",,,,
node/432817342,37.7831519,-122.4211223,Burger King,fast_food,burger,Mo-Fr 06:00-23:00; Sa-Su 07:00-23:00,+1 415-775-4211,https://www.bk.com/store-locator/store/restaurant_2055,"819, Van Ness Avenue, San Francisco, 94109-7809",,yes,,yes
node/432817704,37.783027,-122.4211055,Round Table Pizza,restaurant,pizza,"Su-Th 10:00-22:30; Fr,Sa 10:00-23:00",,,"801, Van Ness Avenue, San Francisco",no,,,
node/432817745,37.7830473,-122.420622,Ike's Kitchen,restaurant,sushi,"Mo-Th 11:00-14:30,17:00-21:30; Fr,Sa 11:00-14:30,17:00-22:30; Su 17:00-21:00",+1 415 7755800,https://www.ikeskitchensf.com/,"800, Van Ness Avenue, San Francisco, 94109",no,yes,,
node/432822679,37.7832465,-122.4190847,Son & Garden,restaurant,,"Mo-Th 09:00-15:00,17:00-21:00; Fr,Sa 09:00-15:00,17:00-21:30; Su 09:00-15:00,17:00-21:00",+1 415 9137404,https://sonandgarden.com/san-francisco,"700, Polk Street, San Francisco",,,,
node/432823131,37.7830769,-122.4203496,Pronto Pizza & Espresso,restaurant,,,+1 4159211999,,"798, Eddy Street, San Francisco",,,,
node/432826225,37.7839182,-122.4194876,Sam's Bakery,shop:bakery,,,+1 415 8345682,,"753, Polk Street, San Francisco",no,yes,,yes
node/432826454,37.7839089,-122.4196454,Jarin Thia Cuisine,restaurant,,,+1 4155635746,,,,,,
node/434781580,37.6892211,-122.4655282,Wendy's,fast_food,burger,09:00-22:00,+1 650-755-2755,https://locations.wendys.com/united-states/ca/daly-city/7401-mission-st,"7401, Mission Street, Daly City, 94014",,yes,,
node/434788700,37.626301,-122.4249223,Hashes & Brews,restaurant,american,,+1-650-952-3189,https://hashesandbrews.com,"811, Cherry Avenue, San Bruno, 94066",,,,
node/434874627,37.8077668,-122.4184666,In-N-Out Burger,fast_food,burger,"10:30-01:00; Fr,Sa 10:30-01:30",,https://locations.in-n-out.com/154,"333, Jefferson Street, San Francisco, 94133",no,yes,no,yes
node/437549643,37.7419005,-122.5047802,Underdogs Too,restaurant,mexican,Mo-Fr 11:30-22:00; Sa 09:00-23:00; Su 09:00-22:00,+1-415-759-8112,https://undrdogstoo.com,"3600, Taraval Street, 94116",yes,,,
node/440104799,37.7996879,-122.4085388,Chubby Noodle,restaurant,noodle,"Mo-Fr 17:00-22:00; Sa,Su 10:00-22:00",+1 415 2969600,https://www.chubbynoodle.com/north-beach,"570, Green Street, San Francisco, 94133",yes,yes,,
node/440106745,37.7996933,-122.408424,Columbus Cafe,bar,,"Mo-Fr 14:00-26:00; Sa,Su 12:00-26:00",+1 415 2742599,https://www.columbuscafesf.com/,"562, Green Street, San Francisco, 94133",,,,
node/440110077,37.7997071,-122.4083219,Sotto Mare,restaurant,italian;seafood,"Mo-Th 11:30-21:00; Fr,Sa 11:30-22:00; Su 11:30-21:00",+1 415 3983181,https://www.sottomaresf.com/,"552, Green Street, San Francisco",yes,,,
node/443372068,37.7564167,-122.4212286,Ritual Coffee Roasters,cafe,coffee_shop,07:00-18:00,+1 415 641 1011,https://ritualroasters.com/,"1026, Valencia Street, San Francisco, 94110",yes,,,yes
node/443809742,37.5412256,-122.516229,Sage Bakery,shop:bakery,,,,,,,,,
node/448036308,37.7825821,-122.4696222,Shabu club,restaurant,asian;japanese,17:00-21:00,+1 415-752-5265,,"951, Clement Street",,,,
node/448036312,37.7826281,-122.4688161,All Stars,cafe,donut,"Mo-We 05:00-18:00; Th 05:00-24:00; Fr 00:00-01:00,05:00-24:00; Sa 00:00-24:00; Su 00:00-18:00",,,"901, Clement Street",no,,,yes
node/448038877,37.7829328,-122.4677871,Hamburger Haven,restaurant,burger,Mo-Fr 07:30-14:00; Sa-Su 07:30-21:00,,,"800, Clement Street, San Francisco, 94118",no,,,yes
node/448038881,37.7829843,-122.4610835,Giorgio's Pizza,restaurant,pizza,,+1-415-668-1266,http://www.giorgiospizza.com/,"151, Clement Street, San Francisco, 94118",,,,yes
node/448038882,37.7832278,-122.4613841,Cumaica Coffee,cafe,coffee,,,,"200, Clement Street, San Francisco, 94118",,,,yes
node/459507740,37.7672111,-122.4288056,Tavola Rustica,restaurant,italian,Mo-Th 16:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00,,https://www.tavolarustica.com/,"215, Church Street, San Francisco, 94114",,,,
node/477129154,37.8061593,-122.4225336,McCormick & Schmick's,restaurant,seafood;steak,Su 11:30-21:00; Mo-Th 15:30-21:00; Fr-Sa 11:30-22:00,+1 415 929 1730,https://www.mccormickandschmicks.com/location/mccormick-kuletos-san-francisco-ca/,"900, North Point Street, San Francisco, 94109",no,,,
node/479491671,37.7882367,-122.4012873,House of Shields,bar,,"Mo-Fr 14:00-02:00; Sa,Su 15:00-02:00",+1 415-975-8651,https://www.thehouseofshields.com/,"39, New Montgomery Street, San Francisco, 94105",no,,,
node/493884683,37.7641516,-122.4668086,Inle Burmese Cuisine,restaurant,burmese;thai;asian,"Mo off; Tu-Su 11:00-15:00,16:00-21:00",+1-415-374-7378,https://inleburmesecuisine.com,"822, Irving Street, San Francisco, 94122",,,,yes
node/497304213,37.7641538,-122.4219808,Puerto Allegre,restaurant,mexican,,,,"546, Valencia Street, San Francisco",,,,yes
node/510816002,37.762319,-122.4349988,Hot Cookie,fast_food,cookie,,+1 415-621-2350,,"407, Castro Street, 94114",,only,,
node/527744442,37.7288885,-122.4307199,KFC Taco Bell,fast_food,,,+1 415-334-8318,https://locations.tacobell.com/ca/san-francisco/4285-mission-st-.html,"4285, Mission Street, San Francisco, 94112",,,,
node/527745558,37.7211567,-122.4372846,El Farolito,restaurant,mexican,,,,,,,,
node/528057543,37.7682118,-122.422385,Carlin's Cafe,cafe,,Mo-Fr 06:30-16:00; Sa 06:30-14:00,,,"298, Valencia Street",no,,,
node/528511748,37.764764,-122.4227284,Delirium,pub,,,,,"3141, 16th Street",,,,
node/528511751,37.7649404,-122.4239386,Arepas,restaurant,latin_american,,,,"3198, 16th Street, San Francisco",,,,
node/529117811,37.7649453,-122.4236628,Pakwan,restaurant,indian;pakistani,Mo-Su 11:00-23:00,+1-415-255-2440,https://pakwanrestaurant.com/guerrero/,"3180-82, 16th Street, San Francisco, 94103",yes,yes,,yes
node/529656139,37.7828529,-122.4448572,Tony's Cable Car,fast_food,,,,,,,,,
node/529771968,37.7706731,-122.4252744,The Orbit Room,bar,,Mo-Su 16:00+,+1 415 9326655,https://www.orbitroomsf.com/,"1900, Market Street, San Francisco, 94102",,,,yes
node/529772421,37.7763523,-122.4263728,Suppenküche,restaurant,german,Mo-Th 17:00-21:00; Fr 17:00-22:00; Sa 15:00-22:00; Su 15:00-20:00,+1 415-252-9289,https://www.suppenkuche.com/,"525, Laguna Street",yes,,,yes
node/529772489,37.7765532,-122.4263948,Cafe Altano,restaurant,italian,,+1-415-252-1200,http://cafealtanosf.com,"602, Hayes Street",,,,
node/529777817,37.785912,-122.4131628,Bourbon and Branch,bar,,"Su,Mo-We 18:00-24:00; Th-Sa 18:00-26:00",+1 415 3461735,https://www.bourbonandbranch.com/,"501, Jones Street, San Francisco, 94102",,,,
node/530286649,37.7676722,-122.4284362,Antoine's Cookie Shop,shop:bakery,,,,,"2073, Market Street, San Francisco, 94114",no,,,
node/540452285,37.7614146,-122.424342,Delfina,restaurant,italian;pizza,Mo-Sa 17:30-22:00; Su 17:00-21:00,+1 415 552 4055,https://www.delfinasf.com/,"3621, 18th Street, San Francisco, 94110",yes,yes,no,
